Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/suave/before\98d85dc9d03349fa29065b83103b2060864f83eb\Sscanf.fs', 0, 0, 0, 2, 0, 0, 1729
'../in/flagged_repos/suave/before\e786fc6e2c2ac53a6b7737ddbc7d4a0e0b90f4ad\Cookie.fs', 0, 0, 0, 0, 0, 0, 2580
