Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/Deedle/before\af7b48f8e5c0336cc7d01162b6b3d80cef6f0221\AssemblyInfo.fs', 0, 1, 0, 0, 0, 0, 76
'../in/flagged_repos/Deedle/before\af7b48f8e5c0336cc7d01162b6b3d80cef6f0221\Series.fs', 0, 5, 33, 2, 1, 0, 12020
